complexity	rx	comment
6	CCN(C(C)C)C(C)C.COc1cc(OC2CCNCC2)ccc1CC(=O)N1CCN(c2ccccc2C)CC1C(N)=O.ClCc1ccccn1>>COc1cc(OC2CCN(Cc3cccnc3)CC2)ccc1CC(=O)N1CCN(c2ccccc2C)CC1C(N)=O	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
6	CC(=O)O[BH-](OC(C)=O)OC(C)=O.CSc1ccc(N)cc1.O=Cc1cccnc1.[Na+]>>CSc1ccc(NCc2ccccn2)cc1	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
8	O=S(=O)(c1ccccc1)n1cc(I)c2cc(Cl)cnc21.O=S(=O)(c1ccccc1)n1cc(I)c2cccnc21>>CS(=O)(=O)c1ncc(Cc2cn(S(=O)(=O)c3ccccc3)c3ncccc23)cn1	Reaction incorrectly extracted from patents.
13	CCOC(=O)c1cc2cc(N)ccc2[nH]1.CCOC(=O)c1cc2cc([N+](=O)[O-])ccc2[nH]1>>CC(C)(C)c1ccc(/C=C/C(=O)Nc2ccc3[nH]c(CO)cc3c2)cc1	Reaction incorrectly extracted. Erroneous structure of the substrate.
7	CC(C)(C)OC(=O)n1c(CCl)nc2ccccc21.CC(N)c1ccccn1.O.[Cs+].[OH-]>>CC(NCC1Nc2ccccc2N1C(=O)OC(C)(C)C)c1ccccn1	multistep
8	COc1cc(Br)c(OC)c2c(Cl)ccnc12.O=[N+]([O-])[O-].[Ce].[NH4+]>>O=C1C=C(Br)C(=O)c2c(Cl)ccnc21	ok
7	CN1C=CC=NC1.O=C(O)O.O=[Mn](=O)(=O)[O-].[K+].[Na+].[Na+]>>O=C(O)c1ccncn1	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
13	CCN(C(C)C)C(C)C.CCn1nnc([C@@H]2O[C@@H](n3cnc4c(N[C@H]5CC[C@H](Nc6nc(Cl)nc7c6ncn7[C@@H]6O[C@@H](c7nnn(CC)n7)[C@H](CC(=O)O)[C@H]6CC(=O)O)CC5)nc(Cl)nc43)[C@H](CC(=O)O)[C@H]2CC(=O)O)n1.N[C@H]1CC[C@H](N)CC1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O>>Clc1nc(N[C@H]2CC[C@H](Nc3nc(Cl)nc4c3ncn4C3CCCCO3)CC2)c2ncn(C3CCCCO3)c2n1	multistep or  incorrect structure of product or substrates.Such reaction remains unknown.
12	C1CCOC1.CCC(CC)(C(=O)O)C(=O)O.CCOP(=O)(Cl)OCC.O=c1cnc(-c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2n1.[H-].[Na+]>>CCOC(=O)C(C(=O)OCC)=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1	Incorrect substrate, looks like erroneous extration of the structure from the name.
14	Cc1ccc(S(=O)(=O)O)cc1.Cc1ccccc1.OCCO>>CCCCCCCCCC1OCCO1	 Incorrect structure of product or substrates.Reaction type described by this entry remains unknown.
10	CC(/C=C/C(=O)Cl)=C\c1ccccc1.CC(C)COC(=O)Cl.CCN(CC)CC.CN(C)c1ccc(CC(=O)O)cc1>>COC(=O)CCCCCNC(=O)Cc1ccc(N(C)C)cc1	 Incorrect structure of the product or one of the substrates.Such reaction remains unknown
13	C[Si](C)(c1ccccc1)C1CCC(=O)CC1.N#CNC(=N)N>>C[SiH](C)C1c2c(N)nc(N)nc2CCC1c1ccccc1	Incorrect structure of the product.
8	CC(C)(C(=O)O)C(=O)O.CCOCC.Nc1cc(Cl)c(Cl)cc1C=O>>COC(=O)c1cc2cc(Cl)c(Cl)cc2nc1O	Incorrect substrate, looks like erroneous extration of the structure from the name.
7	CCOC(=O)c1c(NC(=O)Nc2ccccc2)sc(-c2ccc([N+](=O)[O-])cc2)c1C.CO.CO.Fc1cccc(F)c1CBr.[Na+]>>Cc1c(-c2ccc([N+](=O)[O-])cc2)sc2c1c(=O)n(-c1ccccc1)c(=O)n2Cc1c(F)cccc1F	ok
9	O=C(c1ccc(CCCl)nc1)N(C1CCCC1)C1CCCC1.c1cnc2nc[nH]c2c1>>O=C(c1ccc(CCn2ccc3ncnc-3c2)nc1)N(C1CCCC1)C1CCCC1	 Incorrect structure of product or substrates.Such reaction remains unknown.
10	C1CCOC1.CC(=O)Nc1nccs1.Cl.O=c1nc(Cc2ccccc2Cl)oc2c(C(F)(F)F)cccc12.[Li]CCCC>>O=C(CC(=O)c1cccc(C(F)(F)F)c1NC(=O)C(Cl)c1ccccc1)Nc1nccs1	Incorrect structure of one of the substrate (should be FC(F)(F)c1cccc2C(=O)OC(Cc3ccccc3Cl)=Nc12 instead of FC(F)(F)c1cccc2C(=O)N=C(Cc3ccccc3Cl)Oc12)  and the product. The reaction should describe the opening of  benzoxazin-4-one ring.
8	Cc1ccc(Nc2ccc(C)cc2)cc1.Clc1ccc2cccc3c2c1c1cccc2c1c3c1cccc3c4cccc5cccc(c54)c2c31.O=C(O)O.O=[N+]([O-])c1ccccc1.[K+].[K+]>>Cc1ccccc1N(c1ccccc1C)c1ccc2cccc3c2c1c1cccc2c1c3c1cccc3c4cccc5cccc(c54)c2c31	 Incorrect structure of product or substrates.Such reaction remains unknown
7	CC(=O)OCC1=C(C(=O)O)N2C(=O)C(NC(=O)Cc3csc(=O)s3)C2SC1.CCC1N=NC(=S)S1.Cl>>CCc1nnc(SCC2=C(C(=O)O)N3C(=O)C(NC(=O)Cc4csc(=O)s4)C3SC2)s1	ok
7	CN(C)C=O.COc1cc2c(Oc3ccc(N)c(F)c3)ccnc2cc1CCCCl.O=C(O)Cc1ccc(F)cc1.O=C(O)O.[I-].[K+].[K+].[Na+]>>COc1cc2c(Oc3ccc(N)c(F)c3)ccnc2cc1CCCN1CCOCC1	missing substrate
10	C1CN2CCN1CC2.Cc1csc2c(Cl)ncnc12.O=C(Cc1ccc(F)cc1)NC(=S)Nc1ccc(O)c(F)c1>>CC1=CSC2C(Oc3ccc(NC(=S)NC(=O)Cc4ccc(F)cc4)cc3F)=NC=NC12	Incorrect structure of the product.
8	C=Cc1cccc2oc(C(=O)OCC)c(C)c12.[Na+].[O-][I+3]([O-])([O-])[O-]>>CCOC(=O)C1Oc2cccc(=C=O)c2=C1C	higly suspicious. Nothing even remotely similar present in the literature
13	CCN(CC)CC.CN(C)C(On1nnc2cccnc21)=[N+](C)C.F[P-](F)(F)(F)(F)F.O.O=C(O)Cn1cnc2ccc(F)c(F)c21>>CC(NC(=O)Cn1cnc2ccc(F)c(F)c21)c1ccc(C2(C#N)CCC2)cc1	 Incorrect structure of product or substrates.Such reaction remains unknown.
