template	popularity	first_year
COP(O)(O)=O>>COP(=O)(O)OP(O)(=O)O.O	1	2016
COP(O)(=O)I>>OP(I)OC=O	1	2016
CONC=O>>CNO.CNO.O=CO	1	2016
CONC(N)=O>>CCN(C)C(C)C.COC.N.[O-]	1	2016
CONC(=O)c(c)cc>>CCN.cc(c)n(n)O.ccc(c)C(=O)O	1	2016
CON(C)[3C]=O>>CC#N.I[3C](I)I.OC(=O)O	1	2016
CON(C)C=O.[4C]N=CN>>CCN(C)CC.NC=O.O=CO.[4C]N	1	2016
COCc(c)n>>C=O.COC=O.ccn	1	2016
COC[1C]>>CCC[1C].CO[CH][1C]	1	2016
COCOC>>C=O.OC(=O)O.ccc[nH+]	1	2016
COCO.OCO>>C=O.COCO.O.O.O	1	2016
COCC[1C]>>C=C[1C].CC(O)=O	1	2016
COCCO.N>>C1CO1.CF.O=[N+][O-]	1	2016
COCCN[2C]>>CNCCN.OC(=O)O.[2C]I	1	2016
COCCNS(=O)=O>>Cc(c)c.O=S(=O)N1CC1.O=[SH](=O)O	1	2016
COCCNC=O>>CCc1ccccc1.N.O=CO.OC=O	1	2016
COCCNC(O)=O>>CN.OC(=O)ONC=O.c1ccccc1	1	2016
COCCN>>CN.N.OC(=O)O.ccc(n)N	1	2016
COCCN>>C.CCNC.O=C=O.O=CO	1	2016
COCCN=[N+]=[N-]>>CCCCO[SH](=O)=O.[N-]=[N+]=[N-]	1	2016
COCCC1C[2C]CO1>>CCOC[2C]I.Oc1ccccn1	1	2016
COCC(C)OC=O>>CC(C)O.CCCCO.CO	1	2016
COCC(C)O>>CCO.C[N+].C[Si](O)(O)OC	1	2016
COC>>CC(C)O[SiH2]	1	2016
COC>>C1CC1.CCOC	1	2016
COC=O>>OC=O.cc([nH])CCC	1	2016
COC=O>>O=CC(O)(O)C=O.OC=O	1	2016
COC=O>>Cncc(c)O.NC=O	1	2016
COC=O>>C[SH](=N)=O.NC=O.NC=O	1	2016
COC=O>>C[CH].OC=O	1	2016
COC=O>>CO.[1C]COC=O	1	2016
COC=O>>CN.NNC=O.O=C(O)OC(I)(I)I	1	2016
COC=O>>CC[SH](=O)=O.OC=O	1	2016
COC=O>>CC([1C])N.OC=O	1	2016
COC=O>>C#N.O.ncc(n)C(N)=O	1	2016
COC=O>>C#N.CCOC=O.O=C(O)O	1	2016
COC=O.n>>OC=O.nCO	1	2016
COC=O.n>>COC=O.Cn	1	2016
COC=O.ccccc>>OC=O.ccc(C=O)cc.cccc(c)I	1	2016
COC=O.cN>>OC=O.[N-]=[N+]=C[Si].cI	1	2016
COC=O.OC=O>>Cc(c)c.O.O=COC=O	1	2016
COC=O.O=Cc1cccnc1>>C=CCO.O=COC=O.[Li]c1ccccn1.ccc(O)cc	1	2016
COC=O.N>>COC(N)=O.OC=O	1	2016
COC=O.N>>CCOC(N)=O.OC=O	1	2016
COC=O.Cn>>COS(C)(=O)=O.OC=O.n	1	2016
COC=O.COCCO>>C.CC(C)(C)OC=O.O.OS(=O)(=O)O	1	2016
COC=O.COC=O>>CCOC=O.C[Si]C=[N+].O=COC=O	1	2016
COC=N>>CO.NC=O.OC=O	1	2016
COC=C([1C])[1C]>>CO[SH](=O)=O.O=CI.[1C]C[1C]	1	2016
COC1C[2C](O)C1>>I[2C]1COCOC1.O.O=C(O)O	1	2016
COC.c-c>>CCC.cB(O)OC.cI	1	2016
COC(c)=O>>C1CCCO1.cI.cc(c)Oc(c)c	1	2016
COC(N)=O>>CC(N)=O.CO.O=CI	1	2016
COC(N)=O>>CC(=O)OC=O.CC(N)=O	1	2016
COC(=O)c1ncon1>>CN.CN(C)C=O.O=C(I)C(=O)I.OC=O.ccncc	1	2016
COC(=O)c1cnoc1C>>C=NO.CN.CNC=O.O=C1CCC(=O)N1I	1	2016
COC(=O)c1ccc(O)cc1>>C=NC(=N)N.CC(O)=O.N=CNc1ccc(I)cc1.OC=O	1	2016
COC(=O)c1c:[2C](C=C):on1>>C#N.C=CB(O)O.I[2C]I.Nc1cnnc1=O.OC(O)=O	1	2016
COC(=O)Nc(c)c>>Cc(cnC(O)=O)c(c)-c(c)c.N	1	2016
COC(=O)Nc(c)c>>Cc(c)cnC(O)=O.N.cc(c)CO	1	2016
COC(=O)Nc(c)c>>Cc(c)c.N.cc(c)-c(c)c.nC(O)=O	1	2016
COC(=O)NCCn>>CC1COS(=O)(=O)N1C(O)=O.n	1	2016
COC(=O)CO>>CC(O)C(O)=O.O	1	2016
COC(=O)CCN>>C=O.O=C(O)CC(=O)O.OC=O.[N+]	1	2016
COC(=O)CC1CCCO1>>CC(C)OC(=O)N=N.OC(=O)c1ccncc1	1	2016
COC(=O)C=O>>CNC=[N+].O=CO.OC(=O)O	1	2016
COC(=O)C1(C)CC(c(c)n)=NO1>>C1COCCO1.OC(=O)O.cc(c)C(N)=O.cc(n)C=O	1	2016
COC(=O)C(O)C(O)=O>>COC(=O)C(O)=O.COC(=O)CO	1	2016
COC(=O)C(N)N>>CON.NCC(O)=O	1	2016
COC(=O)C(CC1CCCCC1)N(C=O)C=O.c1ccccc1>>CCNCC.CN(C)C(On1nnc2cccnc21)=[N+](C)C.OC=O.OC=O.c1ccccc1	1	2016
COC(=O)C(=O)NN>>CN.NC=O.NN.O=C(I)C(=O)I	1	2016
COB(c)O>>C=O.OB(O)B(O)O.cI	1	2016
CO>>[CH]OC=O	1	2016
CO>>O=C(O)O.O[SH](=O)=O	1	2016
CO>>CO.cc(c)O	1	2016
CO>>CO.OC(=O)O	1	2016
CO>>CN.COC(N)=O	1	2016
CO>>CC.O=O	1	2016
CO.n>>C.[n+]O	1	2016
CO.cC#C.cC#CCCO>>C.C#CO.CC(C)N.NC=O.cI.cI	1	2016
CO.OC=O>>C#N.CO[SH](=O)=O.O.[O-]	1	2016
CO.NC=O>>CN.N.OC=O	1	2016
CO.NC=O>>CC.N.OC=O	1	2016
CO.N>>CF.NC(=O)O	1	2016
CO.N=CNC=O>>C.N=CNO.O=CI	1	2016
CO.Cc(n)n>>COS(C)(=O)=O.O.ncn	1	2016
CO.CP(O)(O)=O>>C.OCP(O)(O)=O	1	2016
CO.COC=O>>COCCO.OC=O	1	2016
CO.COC=O>>CC(O)OC=O	1	2016
CO.CO>>CCCO.CCI.O=S	1	2016
CNc(n)n>>CN.CNC.nc(n)[SH](=O)=O	1	2016
CNc(n)n>>CCN.nc(n)S	1	2016
CNc(c)n>>CCN.cc(n)F	1	2016
CN[4C]>>CO[Si].[4C]N	1	2016
CN[4C]>>CN[4C].CO[Si]	1	2016
CN[2C].N>>CN.N.[2C]I	1	2016
CNS=O>>C=NS=O.C=O	1	2016
CNS(N)(=O)=O>>CNS(=O)(=O)I.N	1	2016
CNS(=O)(=O)cc(-c)c>>Cc(cB(O)O)cS(N)(=O)=O.cI	1	2016
CNCC[1C]>>C=C[1C].C=O.N	1	2016
CNCCOC>>C.CNC(C)C.CO.CS(=O)(=O)I	1	2016
CNCCNCC(N)=O>>C.CNC(C)C.CN[P+](N)(N)O.N.O=C(O)c1ccco1	1	2016
CNCC(O)c(c)cc>>CN(CC)CC(N)=O.OC=O.cc(O)c(c)C(=O)O	1	2016
CNC>>C=O.C=O.[N+]	1	2016
CNC=O>>C#N.CO.O=[SH](=O)O	1	2016
CNC=O.c-c>>C#N.CO.cB(O)O.cI	1	2016
CNC=O.CNc1ccccn1>>CC.N.O=CO.cccc(c)CNC(=O)Nc1ccc(C(=O)O)cc1	1	2016
CNC.nc(n)N1CCC1>>C1CNC1.CNC.nc(n)[SH]=O	1	2016
CNC.NC=O>>C#N.C1COCCN1.CNC	1	2016
CNC(c)=O>>C#N.C=O.cI	1	2016
CNC(O)=O>>C=O.COC(O)O.N.O	1	2016
CNC(N)=S>>CCSN=C=O.N	1	2016
CNC(N)=O>>CN.N.NC(N)=O	1	2016
CNC(=S)NC(O)=O>>CNC(N)=S.OC(=O)I	1	2016
CNC(=O)OC>>CC(=O)O.CC(O)=O.[N-]=[N+]=NP=O	1	2016
CNC(=O)OC(C)C>>C=O.CCCO.N.OC(=O)O.[BH-]OC=O.ccccc	1	2016
CNC(=O)CNC=O>>C.CNC(C)C.O=CO.cc1csc(O)n1	1	2016
CNC(=O)CC(C)=O.OC=O>>C=C1CC(=O)O1.COC=O.N	1	2016
CNC(=O)C(O)=O>>CN.COC(=O)C(=O)I.N	1	2016
CNC(=N)C([2C])O>>C.CN(C)C=O.CNC.OCC(=O)O.[2C]I	1	2016
CN>>ccc(N)cc	1	2016
CN>>NC1CC1	1	2016
CN>>CO[K].N	1	2016
CN>>CO.O=C(O)NC(=O)O	1	2016
CN>>CN.Nc(n)s	1	2016
CN=[N+]=[N-].[4C]N>>COS(=O)(=O)N[4C].[N-]=[N+]=[N-]	1	2016
CN=[N+]=[N-].OCCOCCO>>COC=O.Nc1ccc(O)cc1.[N-]=[N+]=[N-]	1	2016
CN=C(N)C([2C])O>>C.CN(C)C=O.CNC.OCC(=O)O.[2C]I	1	2016
CN1cc(c)S(=O)(=O)NC1=O>>C=O.O=C=NS(=O)(=O)I.cccN	1	2016
CN1cc(c)COC1=O>>CN1cc(c)COC1=O.cc1cNC(=O)C1	1	2016
CN1N=CCC1=O>>CC(=O)O.CNC(C)C.C[N-]C.O=CI	1	2016
CN1CN=C(N)C=C1N>>CNc1cc(I)ncn1.N	1	2016
CN1CCCc(c)c1c>>CC(=O)O.cc1cccnc1c	1	2016
CN1CCC(c2nc(N)no2)C1>>CN=C=N.Cc(n)n(CC(C)C)c(c)=O.cccc(n)C(=N)NO	1	2016
CN1CCC([1C])C1>>C=C[1C].COCN([Si])CC	1	2016
CN1CCC(C(N)=O)CC1>>CNC=[N+].N.nc1nnc(N)c1C(=O)On1nnc2ccccc21	1	2016
CN1CC=CC=C1O>>C[O+].Oc1ccccn1	1	2016
CN1C=C[N+]N1>>CO.c1cnnn1	1	2016
CN.cc(c)O[2C]>>NC(=O)C(F)(F)F.[2C]I.cc(c)F	1	2016
CN.OC=O>>O=COCNC(=O)O	1	2016
CN.NC=O>>COC=O.N.N	1	2016
CN.N>>N.NCCCn	1	2016
CN.N>>C.NOC(N)=O	1	2016
CN.CN(C)[4C]>>CNC.CN[4C].N	1	2016
CN([4C])N=C>>C=O.CCO.[4C]NN	1	2016
CN([4C])N=C>>C=NN[4C].O=C(O)O	1	2016
CN([2C])S=O>>C=NS=O.[2C]I	1	2016
CN([2C])C=C>>C=CN.CN[4C].[2C]I	1	2016
CN(O)C=O>>CN(CCO)S(F)(F)F.O=CO	1	2016
CN(O)C(N)=O>>CNO.N.[CH]N(O)C(N)=O	1	2016
CN(Cc(n)c(c)C(N)=O)C(N)=O>>CCN(C)C.CN=Cc(n)cc.N=C=O.O	1	2016
CN(CCN)c(n)cn>>C.CC(C)NC.CN.nc1ccccc1nOC=[N+]	1	2016
CN(C)c(n)n>>CC(C)N.nc(n)[SH](=O)=O	1	2016
CN(C)[2C]=O.NC(=O)C1CCCC1.cc(c)Cn>>CCC.N.[2C]I.[nH]c(=O)c1ccccc1nCc1cccc(C(=O)O)c1.cc(c)C(=O)O.cc(c)n(C)c([nH])=O.n	1	2016
CN(C)CCN.COc(c)c>>COCCN.Nc1cc(I)cnc1N.ccc	1	2016
CN(C)CC=C[1C]>>CC[N-]CC.CNC(C)C.C[1C]	1	2016
CN(C)C>>CO.C[CH]NCC	1	2016
CN(C)C>>CCO.CO.cc1cccc(C)[n+]1[O-]	1	2016
CN(C)C>>C#N.C=O.[N+].ncccn	1	2016
CN(C)C=O>>CNC=[N+].NCCO.O=CO	1	2016
CN(C)C=O>>CNC.CNC=O.O=CI	1	2016
CN(C)C(O)=O.C[N+]>>C#N.C[N+].O.O=C(O)O.OCCO	1	2016
CN(C(N)=O)c1c:[2C]:cc(C(F)(F)F)c1>>CC(C)(C)OC(N)=O.CC(C)N(C)CC.O=C(O)C(F)(F)F.[2C]I	1	2016
CI>>C[N+].[I-]	1	2016
CI.O.OCO>>BI.CO.OCO	1	2016
CI.N>>CNC(=O)O.I	1	2016
CF>>CO.[N+]=S(F)F	1	2016
CF>>CC.FCF	1	2016
CF.OCCO>>CO.CO.NS(F)(F)F.cc(c)CCc(c)c	1	2016
CF.N>>COS(=O)(=O)NC(=O)O.[F-]	1	2016
CCn>>CC=O.CCn	1	2016
CCn(cn)c(c)=O>>C=CN.cc(=O)ncn	1	2016
CCc>>CNC=O.cI	1	2016
CCc>>CC.NC[CH]N.cI	1	2016
CCc1cccc2c1Cc(c)c-2c>>C=C.cc1c(c)=c2c(c(C)ccc2=C)C=1	1	2016
CCc1ccc([2C]C(C)C=O)cc1>>C#N.C=C[2C]I.O=C(O)O.O=Cc1ccc(O)cc1	1	2016
CCc1ccc([1C])cc1>>CCCCCCC[1C].CCN	1	2016
CCc1ccc(CC)cc1>>CCO.CCO.c1ccccc1	1	2016
CCc(n)cn>>C#Cc(n)cn	1	2016
CCc(c)n>>CCCc(c)n	1	2016
CCc(c)n.[2C]n>>C.Cn.[2C]I.ccn	1	2016
CCc(c)cC=C>>CC1COB(C=C)O1.cccI	1	2016
CCc(c)c>>CC(=O)O[BH-]OC=O.cc(c)N	1	2016
CC[Si]O.COC=O>>C[Si]I.O.OC=O.[nH]ccn	1	2016
CC[Si](O)(O)CC>>C=C.C=C.O[Si]O	1	2016
CC[Si](C)O>>C[Si](C)I.O.[nH]cn	1	2016
CCS>>CS.[4C]NCCO	1	2016
CCS1C(I)=Cc(c)c1n>>O=C(O)c1ccccc1.cc1cc(I)sc1n	1	2016
CCS(=O)(=O)NC=O>>CNS(C)(=O)=O.O=CO	1	2016
CCS(=O)(=O)C[2C]n>>CS(=O)(=O)CC[2C]I.Cn	1	2016
CCOc>>C.CCOC.cI	1	2016
CCOC>>CCO.CO.O=CO	1	2016
CCOC>>C1COCO1.CO	1	2016
CCOC=O>>CN.OC=O.ccccc	1	2016
CCOC=O>>CCO.CO.OC=O	1	2016
CCOC=O>>CCCCN.NC=O.nc(n)=O	1	2016
CCOC.CN>>C.C.C=CCN.C=O.N	1	2016
CCOC(NC=O)C(=O)OCC>>C1CCOC1.CC(O)=O.CO.N.O=CO	1	2016
CCOC(N)=O>>CCCO.N.O=C(O)OC(I)(I)I	1	2016
CCOC(N)=O>>C=CC(O)=O.CCN(C)P.N	1	2016
CCOC(=O)c1ccccc1>>CC(N)=O.Cc1cccc(C(C)(C)C)c1.OC(=O)O	1	2016
CCOC(=O)c1ccc(I)cc1F>>CC.CCOC.CN.Fc1cccc(I)c1.O	1	2016
CCOC(=O)Nc>>N#N.OC(=O)O.cI.ccc1c(c)Occ(c)C1	1	2016
CCOC(=O)NCCnc(C(O)=O)c(c)C(O)=O>>CCC(O)COC(N)=O.COC(N)=O.cc(C(O)=O)c(n)C(O)=O	1	2016
CCOC(=O)NCCC(C)NC=O>>CCN.CCOC(=O)NCCNC.O=CO	1	2016
CCOC(=O)Cn>>CS(C)=O.OC(=O)O.cc(c)cn.n	1	2016
CCOC(=O)CNC=O>>CN(C)CCO.CNC(=[N+])On.OC=O	1	2016
CCOC(=O)C1=CNC(=O)NC1>>C=O.CC(=O)CC=O.CCCO.NC(N)=O	1	2016
CCO>>CO.[1C]C(N)CO	1	2016
CCO>>C=O.Cc(c)c	1	2016
CCO>>C=O.C[Si](N)(N)I	1	2016
CCO>>C=O.CN	1	2016
CCO>>C=CI.O	1	2016
CCO>>C#N.CO	1	2016
CCO.c-c(c)s>>CO.cB(O)O.cc(s)-c1ccc(I)cc1	1	2016
CCO.[2C]O>>CC[Si]O.CO.O.[2C]I	1	2016
CCO.O>>C=O.CC[Si]O	1	2016
CCO.N>>CC(C)OC(N)=O.CO	1	2016
CCO.C[2C]>>C=O.CC.[Li][2C]	1	2016
CCO.COc>>CC=O.Cn.cI.cc(c)CO	1	2016
CCNc>>C=CC=N.cI	1	2016
CCNc(c)cc>>[N+].ccc(c)CC=O	1	2016
CCNc(c)c>>CCCCNC=O.cc(c)F	1	2016
CCNc(c)c>>CC(N)c(c)c	1	2016
CCN[4C]>>CCN=C.[4C]N	1	2016
CCN[4C]>>C=CN(C)[4C]	1	2016
CCNCCO>>CCNCCO.OC1CNCC1	1	2016
CCNCCCI>>CNCc1ccccc1.C[Mg]I	1	2016
CCNC>>CN.CNC	1	2016
CCNC>>CCNC.c1ccnn1	1	2016
CCNC>>CCN(C)C=O	1	2016
CCNC=O.O=C1CCCN1>>C.CC(C)NC.CNCCN.OC=O.cccc(n)cnOC(=[N+])N	1	2016
CCNC(O)=O>>CCN.CN.O.O=C(O)O	1	2016
CCNC(N)=O.CN1CCN(Cc(c)cC=O)C(=O)C1>>CCNC(=O)Nc(n)ccc.CN(C)C=O.COC(ccc)OC.NC(=O)O	1	2016
CCN>>N.O=C(O)C(F)(F)F.[BH3-]C#N	1	2016
CCN>>CCN.NCC(F)F	1	2016
CCN>>C#N.CO.N	1	2016
CCN1C(=O)C2CC3CCOC32c2cc(I)ccc21.NC(N)=O>>C.COC(=O)c1ccc2c(c1)CNC2.I.N.NC(=O)c1ccc(N)cc1	1	2016
CCN.nc(n)=O>>CCN.COc(n)n.N	1	2016
CCN.COc(c)c>>CNC=C.N.O=CO.ccc	1	2016
CCN(c)CC>>cI.cc1cc(O)c(Oc2ccccc2)c(=O)n1	1	2016
CCN(O)C=O>>CCN.CNO.O=CO	1	2016
CCN(CC)c(c)n>>cc(n)=O.cc1cc(O)c(Oc2ccccc2)c(=O)n1	1	2016
CCN(C)S=O>>CCN(C)C=O.O=SI	1	2016
CCN(C)S(N)(=O)=O>>CCN(C)C=O.NS(=O)(=O)I	1	2016
CCN(C)C(C)=O>>CCCNC.O=COC(=O)C(F)(F)F	1	2016
CCI>>CCO.[4C]NI	1	2016
CCI.CO.OCCOCO>>CCO.CI.C[N+](C)([O-])CCO.O.O	1	2016
CCCOC=O.[2C]OC=O>>CCCCN.COC=O.OC=O.[2C]I	1	2016
CCCOC(N)=O>>CCCO.N.O=C(I)OC(I)(I)I	1	2016
CCCO>>C=C.C=O.O	1	2016
CCCNc(c)c>>CCCC(C)N.cc(c)F	1	2016
CCCN[4C]>>CCCN[4C]	1	2016
CCCNC>>N.O=CO.c1ccccc1	1	2016
CCCNC>>CCNCCCC	1	2016
CCCNC>>C.CC(C)NC.CO	1	2016
CCCNC=O>>O=CO.cc(c)C1=NCC(=O)O1	1	2016
CCCNC=O>>NCC(=O)O.O=CO.cc(I)c(I)c(c)I	1	2016
CCCN>>CNCCCN[4C].N	1	2016
CCCN>>CCN.CC[1C]	1	2016
CCCCn1cc(C(=O)c2ccc(OC)cc2)c2ccccc21>>C[Hg]Sc1ccccc1C(=O)O.NC(CO)(CO)CO.NCC(=O)O.NCC(=O)O.OCC(O)C(O)[CH]O.OCC(O)[CH]O.OCC1(O)OC(CO)C(O)C1O	1	2016
CCCC[2C].C[2C]>>C.CC.CCCO.[2C]I.[Li][2C]	1	2016
CCCCO[2C]>>COccc(cc)C(=O)OC.OC(=O)O.[2C]I	1	2016
CCCCOCO.cccc>>C.CO.C[SH]=O.O.cc1c(c)CC1	1	2016
CCCCO>>CCCC(O)=O	1	2016
CCCCO>>CC(C)(C)O	1	2016
CCCCNC(N)=O.ccccc>>N.O=CO.c1ccccc1.ccc(cc)N=C=O	1	2016
CCCCN>>CCC.CN	1	2016
CCCCN>>C=CCN.CC=O.N.ccccc	1	2016
CCCCN>>BC(=C)CCN.CCCCO	1	2016
CCCCN.[3C]>>C.CC[3C]I.CN	1	2016
CCCCCCN>>CCC=O.CNCC=Cc(c)c.N	1	2016
CCCCCCCNOCc1ccccc1>>CNc1ccc(N=Nc2ccc(S(=O)(=O)O)cc2)cc1.CO	1	2016
CCCCCCCCCCOC(=O)I>>O=C(O)OC(I)(I)I.c1ccccc1.c1ccncc1	1	2016
CCCCCCCCCCCCOC(=O)C=C>>C#CO.CO.COc1cc(C=CC=O)ccc1O.OC(=O)CCCC(=O)O.OCCOCCO	1	2016
CCCCCCCCC>>CO.NCc1ccccc1.cc(c)C=O	1	2016
CCCCCCCC.CCCOS(O)(=O)=O>>C=C.CC=C.NCCO.NCCS(O)(=O)=O.O=C1[CH]CC(O)C(O)=C1O	1	2016
CCCCC>>C1CC1.CC.CC	1	2016
CCCCC=O.c1ccccc1>>O=CO.c1ccccc1.c1ccccc1.ccccc	1	2016
CCCCC=C>>C=C.O=C1C=CC(=O)O1	1	2016
CCCCC1=CCCC1=O>>CC(=O)O.Cc1ccc(S)cc1.c1ccccc1	1	2016
CCCC=CO[Si]>>C=CC=O.N[CH]CC=CO[Si]	1	2016
CCCC(n)O>>CCCO.ccccc.n	1	2016
CCCC(O)O>>C=COCCCCO.O	1	2016
CCCC(O)O.ccc(c)O>>COCCO.O.O[Si].cc(C(O)c(c)c)c(c)-c(c)c	1	2016
CCCC(O)O.ccc(c)O>>COCCO.O.O[Si].cc(-c(c)c)c(c)C(O)c(cc)cc	1	2016
CCCC(O)=O>>CC=C.OC=O	1	2016
CCCC(C[2C])C(=O)I>>C1COCCO1.CCOC.I[2C]I.nC(n)=O	1	2016
CCC>>CN(C)C(=O)O	1	2016
CCC>>CC=C.ccccc	1	2016
CCC>>CC.NCC(=O)O	1	2016
CCC>>CC(C)(O)O.CC(O)O	1	2016
CCC>>C=C.CCC	1	2016
CCC=C[1C]>>CCOP(=O)(C[1C])OC	1	2016
CCC=CO>>C=CCO.CC=C	1	2016
CCC=CC=CC=CCC>>C.CCCC.Cc1ccccc1OP	1	2016
CCC=CC=CC=CC=CCC.CCCC(O)=O>>CCCCP(CCCC)c1ccccc1-c1c(O)cccc1OC.[O-]	1	2016
CCC=C>>C=O.CC(C)(C)O	1	2016
CCC=C(OC=O)OC(C)=O>>C=CC=C.CCCO.O=O.OC=O	1	2016
CCC1OCOcc1c>>C=O.CC(=O)O.COC=O.cccO	1	2016
CCC1CC2(CC2)OCO1>>C=O.C[Si]O.Cc1cccc(C)n1.OC(=O)O	1	2016
CCC1=CC(C=O)CC1>>CC(=O)OC=O.c1ccncc1	1	2016
CCC.[N+][2C]CO>>CCCC[2C]I.CCO.N	1	2016
CCC.COC.OCCO>>C.C.C1CO1.CC1CO1.CO.COC	1	2016
CCC([2C])O>>CCOC=O.COC=O.[Li][2C]	1	2016
CCC([1C])NC(=O)CNC=O>>C.CNC.C[1C].OC=O.nC(=O)n1ccnc1	1	2016
CCC(O)CN>>CC(O)CN.CCC(O)CN	1	2016
CCC(O)C(N)=O.CCO>>CC.CNCCO.CO.CO.[1C]CC(O)(C[1C])C(=O)O	1	2016
CCC(O)=O>>C=CC(=O)O.CC(=O)OC	1	2016
CCC(O)=O.cc1cCC(NC=O)C1=O>>COC(C)=O.O=CI.cc1cCC(N)C1(O)O	1	2016
CCC(N)C(N)=O>>C.CCOC(C)=O.CNC.N	1	2016
CCC(N)=O>>CC(=O)O.CCO.N	1	2016
CCC(C)OS(=O)=O>>CCC(C)O.O=S(=O)I	1	2016
CCC(C)OC(=O)NN>>COC.COC(C)C.NN.O.[O-]	1	2016
CCC(C)O>>CC(O)=O.CCCC	1	2016
CCC(C)N>>CCC(C)=O.[BH3-]C#N	1	2016
CCC(C)C=O>>C.C=C.C=O.C=O	1	2016
CCC(C)C=C>>C=CCCC1C=CCC1	1	2016
CCC(C)(S)S>>CC=C(C)I.S.S	1	2016
CCC(C)(C)C=CO>>CCC(C)=O.CCOC=O.CO	1	2016
CCC(=O)c1cccc(I)c1>>C=Cc1ccc([N+](=O)[O-])cc1C(F)(F)F.Ic1cccc(I)c1	1	2016
CCC(=O)NC[2C][2C]N(CC)C=O>>C=CO.CC(=O)O.CNCCNc(c)c.I[2C][2C]I.O=C(O)C(F)(F)F.O=CO	1	2016
CCC(=O)NC>>CC#N.COS(=O)(=O)N(C)[4C]	1	2016
CCC(=O)N(C)C>>CCCNC(=O)c(c)c.CNC.O=CI	1	2016
CCC(=C)cccc>>C=O.OC1CCCCO1.cc(c)C(=O)ccncI	1	2016
CCC(=C)[1C]>>C=C.C=C([1C])I	1	2016
CCC(=C(C)c1ccc(O)cc1)c1ccc(O)cc1>>CCS.CCSC1O[CH]C(O)C(O)C1O.NC(CO)(CO)CO.[1C]C(N)c1ccccc1.[nH]ccn	1	2016
CC>>CCOCC	1	2016
CC>>CCO.C[CH]	1	2016
CC>>CC.C[CH]	1	2016
CC>>C.cc(c)C(=O)OO	1	2016
CC>>C.C[CH]N	1	2016
CC>>C.CC([1C])O	1	2016
CC=O>>CC(O)O.NCC=O	1	2016
CC=O>>C=C.O=S([O-])[SH](=O)=O	1	2016
CC=O>>C#C.COC	1	2016
CC=O.N>>C#C[Si].NC=O	1	2016
CC=O.Cn>>COC=C.n	1	2016
CC=Cc1cc(F)ccc1S>>C=Cc1ccccc1S(N)(=O)=O.Fc1ccc(S)c(I)c1	1	2016
CC=C[1C]>>C=C(C)[1C].CC=C	1	2016
CC=CN>>C=CC(=O)I.N	1	2016
CC=CCCOC=O>>C=O.CC(C=C)C=O	1	2016
CC=CCCO>>C=O.CC(CO)C=C	1	2016
CC=CCCNC=O>>C=N.CC(C=C)C=O	1	2016
CC=CC=O>>C=CC=CN.O=CO	1	2016
CC=C>>c1cnnc1	1	2016
CC=C>>CC=C.ccccc	1	2016
CC=C>>CC#C	1	2016
CC=C>>C=CI.C[Zn]I	1	2016
CC=C>>C=CC.CC(=C)[1C]	1	2016
CC=C>>C=C.O=C(O)[CH]O	1	2016
CC=C>>C=C.CC(=C)[Sn]	1	2016
CC=C>>C=C.CC(=C)[1C]	1	2016
CC=C([1C])[1C]>>NCCO.O=CO.[1C]C[1C]	1	2016
CC=C(C)O>>CCC(C)(O)O	1	2016
CC1OC=NN1C(C)=O>>CCOC(=O)c(n)cc.CO.NNC=O	1	2016
CC1OC1CO>>CO.O.ccc(cc)Pc1ccccc1	1	2016
CC1NC(=O)c2cc(-c)nc21>>Cn.O=c1c2ccc(F)c(I)c2nc(I)n1C1CC1.cI	1	2016
CC1NC(=O)NC1=O>>CCC(N)C(N)=O.NC(=O)CN	1	2016
CC1N=CNC(I)=C1[1C]>>C#C.NC=N.O=P(I)(I)I.[1C]CC(=O)O	1	2016
CC1Ccc(c)N1>>C=O.cc1cCNC1	1	2016
CC1CO1>>CC=O.C[S+]	1	2016
CC1CNcc(c)C1N[4C]>>CC(=CNccc)C(=O)N[4C].CC(CN)C(=O)N[4C]	1	2016
CC1CCC([1C])N1>>CC(O)CC(C)C([1C])N.CC([1C])NC(=O)O	1	2016
CC1CCC(O)C=CC=CCO1>>CCCCCCOCCC.O=C(I)c1c(I)cccc1I	1	2016
CC1CCC(CO)O1>>CO.O.O=S(=O)(O)c1ccccc1	1	2016
CC1CC1C1CCC(c)(NO)CO1>>C.CCO.CCOC(C)=O.[Li]CCCC.[N+].cI	1	2016
CC1CC(=O)NC(=O)N1C(N)=O>>Cc1cnc(=O)nc1=O.N.O=C(O)O	1	2016
CC1=[2C][N+]NN1>>C=C[2C]I.NN=N	1	2016
CC1(OC(=O)NN)CCOCC1>>C1CCOC1.CCOC(C)=O.NN	1	2016
CC.OCc1ccccc1>>CCC.CO.Cc1cccc(N)c1	1	2016
CC.CCNC=O>>C=C.CC.N.O=CO	1	2016
CC.CCCC>>CC.CC.CCCC	1	2016
CC.CCC>>CCNC.CCO.ccccc	1	2016
CC(n)ccccc.[4C]N>>COc(cCN[4C])cc(c)O.n	1	2016
CC(c)[1C]>>[1C]CC(=O)O.cI	1	2016
CC(c)O>>C=C.O.cI	1	2016
CC(c)N>>C=C(N)OP=O.cB(O)O	1	2016
CC(c)=O>>C=O.C[Al+].cI	1	2016
CC([2C])O>>CC(=O)O.OC=O.[Li][2C]	1	2016
CC([1C])([1C])[2C]>>CCC.[1C]C[1C].[2C]I	1	2016
